character,film,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49
ACKBAR,EpisodeVI,0.38114784,-0.045353836,0.250289674,-0.052304585,0.236065448,-0.105137211,-0.142368389,0.219687153,-0.0343906,-0.196915698,0.091380639,0.042808451,-0.250390092,0.193119571,-0.027028512,0.034016092,0.189376739,-0.012679621,-0.697659165,-0.304214046,0.062252656,-0.050250875,0.02012541,-0.188921509,0.062456095,-1.10074016,-0.06489296,-0.148757104,0.285976999,0.001783165,2.135300964,0.176718621,-0.417471315,-0.203450481,0.117609948,0.046967743,0.067115674,-0.090912714,-0.213019193,-0.05240457,-0.103009154,0.021530742,0.132233396,-0.225142031,0.150175437,-0.088116691,0.064920022,-0.043237517,-0.066597377,0.066510584
ANAKIN,EpisodeVI,0.316669397,0.255495513,0.072301891,-0.477436498,0.792180002,0.132994995,-0.734317005,0.578932598,-0.457564503,-0.282000497,0.083380198,0.553955495,-0.472085506,-0.226705216,0.598092437,0.422335982,0.044849709,-0.35472231,-0.034783448,0.055607498,-0.458159834,0.562218189,-0.054054997,0.249751925,0.405093744,-1.853547633,-0.044182301,-0.260109988,0.274286702,-0.286912471,2.512700081,0.22144299,-0.487902492,0.012903981,0.200085998,0.008667301,0.232536107,-0.056197509,0.341192007,-0.226929501,-0.048445851,0.338076234,-0.214278996,0.052655518,0.03319975,-0.041460246,-0.252888689,-0.568622127,-0.055533703,0.178097107
BEN,EpisodeVI,0.351034786,0.143531525,-0.001956825,-0.259125342,0.491360516,0.134119428,-0.244852953,0.260424332,-0.264363798,-0.024372132,0.056655391,0.356756467,-0.371961979,-0.030631279,0.290404214,0.20503181,0.088224951,-0.03431186,-0.121787884,-0.119270976,-0.262643992,0.344723514,0.015685338,0.038150989,0.448506466,-1.347693241,-0.361429192,-0.159140302,0.306155698,-0.160604735,2.138018794,0.224247925,-0.194122599,-0.230104317,0.104853494,0.029552684,-0.089492995,-0.01586841,-0.110512777,-0.340656428,-0.172922475,0.057859248,-0.025479173,0.025532783,0.08905448,0.017550128,0.001656993,-0.34711077,-0.140984377,0.012236544
BIB,EpisodeVI,-0.103127494,0.187381243,0.012863831,-0.039052255,0.074261293,-0.340374437,0.058246262,0.164340359,-0.365657973,0.008900133,0.0504818,0.611385902,0.019506512,0.132322429,-0.014673014,0.178714392,0.149835995,0.076520341,0.10210787,0.342824717,0.001304143,0.124904717,0.096968198,0.366885822,0.340567488,-0.466374298,-0.360181987,-0.444127473,-0.263352064,-0.253498156,0.777853345,-0.268847442,-0.278563149,0.25433295,0.325272647,0.142653928,0.054766913,-0.351821121,0.273844292,-0.057653542,0.1186766,0.066058206,-0.226059888,0.040886261,0.135352049,-0.34339336,0.48766948,-0.348221059,0.169168963,0.073301609
BOUSHH,EpisodeVI,0.407995275,0.249569892,-0.151652887,-0.325447604,0.180202454,-0.512366921,-0.131400039,0.28872121,-0.212312927,0.181165216,-0.093344964,0.115888362,0.173606152,-0.031156808,0.549188616,0.320103606,0.085706718,-0.036910762,-0.212701365,-0.091205879,-0.014020036,0.140999567,0.028695544,-0.111352847,0.172912108,-0.733525274,-0.271575212,0.102018983,0.439707654,-0.062647443,1.717486216,0.461062298,-0.361988877,0.103739198,-0.115903081,0.284222282,0.138593812,-0.024757023,-0.062500256,-0.256590811,-0.121602346,-0.031049027,-0.030893316,0.312413288,-0.076031901,-0.102666437,-0.068814043,-0.394045505,-0.102813196,-0.224216714
COMMANDER,EpisodeVI,0.41862052,-0.276379083,0.122140804,-0.321837452,0.397609425,-0.196382999,-0.320465737,0.281351363,-0.430453053,-0.324588018,-0.200930771,-0.038228427,-0.412543739,-0.102596633,0.123970624,0.093135131,0.147605359,-0.138912353,-0.519240003,0.05228358,0.089269452,0.334984118,0.223986368,-0.085710698,-0.093703405,-1.561587972,-0.089279751,-0.213555202,0.300904463,0.162185422,2.509320242,-0.106046678,-0.712631395,-0.14917856,0.182062749,0.070843843,0.084166068,-0.436079998,-0.353271633,-0.066860934,-0.182946745,0.156327777,-0.12740313,-0.243733292,0.361699924,-0.11862073,-0.401923951,-0.080055346,-0.001197598,-0.199848945
CONTROLLER,EpisodeVI,0.394185355,0.083428126,0.319788934,-0.1425584,0.059206654,0.085841212,-0.12189367,0.108012295,0.199782309,-0.490072262,0.077602077,0.400535104,-0.017929478,0.222423407,-0.153132549,0.188888693,0.021153158,-0.081382339,-0.437637717,-0.425819865,0.292481595,-0.111815009,-0.026143368,-0.164302483,0.267993264,-1.005576098,-0.13489204,-0.095213341,0.287138673,-0.176140404,1.928308606,0.092884461,-0.268129554,-0.322596213,0.087442634,0.145207965,0.327900559,-0.121293363,-0.319649072,-0.149788487,0.142279337,-0.132803969,0.347089426,-0.042778901,-0.222818336,0.088439012,0.075088137,-0.106391974,0.008922838,-0.080103561
EMPEROR,EpisodeVI,0.352969569,0.117373261,0.074086075,-0.306217173,0.498376134,-0.13554856,-0.320758449,0.201972894,-0.139649218,-0.006604486,-0.000268039,0.261659509,-0.262545562,-0.019116979,0.371944137,0.297403796,0.227343401,-0.007287182,-0.103881754,-0.360562455,-0.143697738,0.300595019,0.105027021,0.026051011,0.341740756,-1.39615098,-0.371327709,-0.066073496,0.411957741,-0.192839514,2.566892511,0.354196502,-0.369023614,-0.265394099,0.028934655,-0.042677596,0.010014452,-0.051080558,-0.089049142,-0.331154353,-0.20003719,-0.021648412,0.053713238,0.069220326,0.144739762,0.046456914,-0.117256815,-0.082455282,-0.122274713,0.15672007
GUARD,EpisodeVI,0.697698981,0.155487892,-0.044544503,-0.319008887,0.426038995,-0.374300689,0.087455526,0.386132311,-0.422885269,0.023414157,0.041613697,0.526994377,-0.194329489,-0.31420663,0.632466525,0.560851246,-0.06466726,-0.203256488,0.032768987,-0.063930714,-0.141737618,-0.062030748,-0.001616132,-0.308771744,0.655035004,-1.619334459,-0.371162489,-0.275604635,0.197047897,-0.130938019,2.523047566,0.273834504,-0.399570271,-0.125105742,-0.229428675,-0.262589499,0.25930924,0.012587242,-0.470610738,-0.194623262,-0.392460763,-0.042538114,0.0221885,0.061821703,0.157459185,0.102996496,-0.326063514,-0.462636828,-0.350871414,-0.006255747
HAN,EpisodeVI,0.096207382,0.038643305,0.056304279,-0.248800322,0.290160352,-0.192088099,-0.278862025,0.216769289,-0.223364488,0.185028235,-0.128468561,0.356184788,-0.276353708,0.080074105,0.367056706,0.246716163,0.254084189,-0.036545291,0.02919386,-0.26342497,-0.276499683,0.291945729,0.184122204,0.142651153,0.533063549,-1.089468026,-0.466450406,0.11685378,0.481679563,-0.566513415,1.940400358,0.421827193,-0.226157915,0.190004275,-0.006660838,-0.067662795,0.093843186,-0.061611207,0.171538266,-0.220727375,-0.151551708,0.0713128,-0.066231961,0.082691871,0.152261459,-0.001868943,0.070591393,-0.166959301,0.01766952,0.309155754
