character,film,line,processed_lines,line_count,neg,neu,pos,compound
OFFICER,EpisodeVI,Inform the commander that Lord Vader's shuttle has arrived.,"['inform', 'commander', 'lord', 'vaders', 'shuttle', 'arrived']",1,0.0,1.0,0.0,0.0
OPERATOR,EpisodeVI,"Yes, sir.","['yes', 'sir']",1,0.0,0.27,0.73,0.4019
JERJERROD,EpisodeVI,"Lord Vader, this is an unexpected pleasure.  We're honored by your presence.","['lord', 'vader', 'unexpected', 'pleasure', 'honored', 'presence']",7,0.0,0.571,0.429,0.8176
VADER,EpisodeVI,"You may dispense with the pleasantries, Commander. I'm here to put you back on schedule.","['may', 'dispense', 'pleasantries', 'commander', 'put', 'back', 'schedule']",43,0.0,0.859,0.141,0.3182
JERJERROD,EpisodeVI,"I assure you, Lord Vader, my men are working as fast as they can.","['assure', 'lord', 'vader', 'men', 'working', 'fast']",7,0.0,0.844,0.156,0.34
VADER,EpisodeVI,Perhaps I can find new ways to motivate them.,"['perhaps', 'find', 'new', 'ways', 'motivate']",43,0.0,0.755,0.245,0.3818
JERJERROD,EpisodeVI,"I tell you, this station will be operational as planned.","['tell', 'station', 'will', 'operational', 'planned']",7,0.0,1.0,0.0,0.0
VADER,EpisodeVI,The Emperor does not share your optimistic appraisal of the situation.,"['emperor', 'share', 'optimistic', 'appraisal', 'situation']",43,0.3,0.7,0.0,-0.431
JERJERROD,EpisodeVI,But he asks the impossible. I need more men.,"['asks', 'impossible', 'need', 'men']",7,0.0,1.0,0.0,0.0
VADER,EpisodeVI,Then perhaps you can tell him when he arrives.,"['perhaps', 'tell', 'arrives']",43,0.0,1.0,0.0,0.0
JERJERROD,EpisodeVI,The Emperor's coming here?,"['emperors', 'coming']",7,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"That is correct, Commander. And he is most displeased with your apparent lack of progress.","['correct', 'commander', 'displeased', 'apparent', 'lack', 'progress']",43,0.271,0.591,0.138,-0.4005
JERJERROD,EpisodeVI,We shall double our efforts.,"['double', 'efforts']",7,0.0,1.0,0.0,0.0
VADER,EpisodeVI,"I hope so, Commander, for your sake. The Emperor is not as forgiving as I am.","['hope', 'commander', 'sake', 'emperor', 'forgiving']",43,0.125,0.725,0.15,0.1265
THREEPIO,EpisodeVI,"Of course I'm worried. And you should be, too. Lando Calrissian and poor Chewbacca never returned from this awful place.","['course', 'worried', 'lando', 'calrissian', 'poor', 'chewbacca', 'never', 'returned', 'awful', 'place']",90,0.341,0.659,0.0,-0.8316
THREEPIO,EpisodeVI,"Don't be so sure. If I told you half the things I've heard about this Jabba the Hutt, You'd probably short-circuit.","['sure', 'told', 'half', 'things', 'heard', 'jabba', 'hutt', 'probably', 'shortcircuit']",90,0.0,0.87,0.13,0.4572
THREEPIO,EpisodeVI,"Artoo, are you sure this is the right place? I better knock, I suppose.","['artoo', 'sure', 'right', 'place', 'better', 'knock', 'suppose']",90,0.0,0.698,0.302,0.6369
THREEPIO,EpisodeVI,There doesn't seem to be anyone there. Let's go back and tell Master Luke.,"['seem', 'anyone', 'go', 'back', 'tell', 'master', 'luke']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,Goodness gracious me!,"['goodness', 'gracious']",90,0.0,0.127,0.873,0.784
THREEPIO,EpisodeVI,Artoo Detoowha bo Seethreepiowha ey toota odd mischka Jabba du Hutt.,"['artoo', 'detoowha', 'bo', 'seethreepiowha', 'ey', 'toota', 'odd', 'mischka', 'jabba', 'du', 'hutt']",90,0.187,0.813,0.0,-0.3182
THREEPIO,EpisodeVI,"I don't think they're going to let us in, Artoo. We'd better go.","['think', 'going', 'let', 'us', 'artoo', 'better', 'go']",90,0.0,0.805,0.195,0.4404
THREEPIO,EpisodeVI,"Artoo, wait. Oh, dear! Artoo. Artoo, I really don't think we should rush into all this.","['artoo', 'wait', 'oh', 'dear', 'artoo', 'artoo', 'really', 'think', 'rush']",90,0.0,0.838,0.162,0.4389
THREEPIO,EpisodeVI,"Oh, Artoo!  Artoo, wait for me!","['oh', 'artoo', 'artoo', 'wait']",90,0.0,1.0,0.0,0.0
THREEPIO,EpisodeVI,"Just you deliver Master Luke's message and get us out of here. Oh my! Oh! Oh, no.","['deliver', 'master', 'lukes', 'message', 'us', 'oh', 'oh', 'oh']",90,0.0,1.0,0.0,0.0
BIB,EpisodeVI,Die Wanna Wanga!,"['die', 'wan', 'na', 'wanga']",6,0.677,0.323,0.0,-0.636
THREEPIO,EpisodeVI,"Oh, my! Die Wanna Wauaga. We -- we bring a message to your master, Jabba the Hutt.","['oh', 'die', 'wan', 'na', 'wauaga', 'bring', 'message', 'master', 'jabba', 'hutt']",90,0.208,0.792,0.0,-0.636
THREEPIO,EpisodeVI,"... and a gift.  Gift, what gift?","['gift', 'gift', 'gift']",90,0.0,0.315,0.685,0.8271
BIB,EpisodeVI,Nee Jabba no badda. Me chaade su goodie.,"['nee', 'jabba', 'badda', 'chaade', 'su', 'goodie']",6,0.239,0.761,0.0,-0.296
