you,count
will,157
luke,119
going,116
right,109
oh,108
come,103
know,101
now,97
see,81
us,80
artoo,80
got,78
sir,76
good,76
go,76
back,70
yes,69
take,66
one,66
chewie,64
must,63
think,60
time,53
ship,52
master,52
help,50
force,50
look,49
father,49
vader,47
want,42
way,39
wait,39
power,39
side,39
jedi,38
old,37
lord,37
little,37
tell,36
sure,36
find,34
make,34
something,34
never,33
leia,33
need,31
shield,31
han,31
hey,30
system,30
two,30
long,30
around,30
obiwan,29
coming,28
stay,28
let,27
thought,27
jabba,27
emperor,27
much,27
okay,26
dark,26
better,25
told,25
move,25
princess,25
leave,25
ready,24
empire,24
enough,24
might,24
away,24
nothing,24
uh,23
last,23
keep,23
hold,23
friend,23
solo,23
bad,23
found,23
yeah,23
lando,23
station,23
kid,23
friends,22
thing,22
skywalker,22
imperial,22
alderaan,22
attack,22
great,22
may,22
hope,21
quite,21
really,21
use,21
give,20
anything,20
star,20
afraid,19
strong,19
course,19
captain,19
threepio,19
say,19
work,19
mind,19
lot,19
things,19
even,19
kenobi,19
droid,19
feel,19
easy,18
ben,18
rebel,18
put,18
general,18
na,18
droids,18
leader,17
worry,17
yoda,17
always,17
stop,17
try,17
close,17
life,16
blast,16
main,16
fire,16
young,16
knew,16
done,16
listen,16
far,16
red,16
bring,16
sorry,16
turn,16
soon,16
fleet,16
still,16
watch,16
wrong,15
trying,15
uncle,15
said,15
ships,15
hurry,15
says,15
hit,15
man,15
thank,15
big,15
pay,14
hear,14
control,14
rebellion,14
people,14
new,14
wish,14
boy,14
shut,14
first,14
trust,14
care,14
talking,14
die,14
battle,14
destroy,14
point,14
mean,14
powerful,14
getting,13
gon,13
looks,13
set,13
trouble,13
three,13
pull,13
commander,13
looking,13
understand,13
unit,13
believe,13
fighters,13
dead,13
happened,13
rtwo,12
lightspeed,12
left,12
escape,12
destiny,12
dangerous,12
yet,12
remember,12
admiral,11
please,11
death,11
thousand,11
end,11
pretty,11
field,11
next,11
along,11
fault,11
lost,11
place,11
mine,11
gone,11
sand,11
planet,11
made,11
fight,11
