word,film,count
will,EpisodeVI,70
going,EpisodeIV,66
luke,EpisodeIV,57
right,EpisodeIV,47
come,EpisodeIV,46
will,EpisodeV,44
oh,EpisodeVI,44
sir,EpisodeIV,44
will,EpisodeIV,43
oh,EpisodeV,42
now,EpisodeIV,40
us,EpisodeIV,39
got,EpisodeIV,38
know,EpisodeIV,38
right,EpisodeV,37
luke,EpisodeVI,37
know,EpisodeV,36
yes,EpisodeV,36
think,EpisodeIV,35
now,EpisodeVI,35
going,EpisodeV,35
one,EpisodeIV,34
artoo,EpisodeVI,34
back,EpisodeIV,33
come,EpisodeVI,32
go,EpisodeIV,31
see,EpisodeIV,30
good,EpisodeV,30
ship,EpisodeIV,30
see,EpisodeV,29
chewie,EpisodeVI,29
father,EpisodeVI,29
sir,EpisodeV,28
go,EpisodeV,28
good,EpisodeVI,28
know,EpisodeVI,27
master,EpisodeVI,27
artoo,EpisodeV,27
take,EpisodeIV,26
chewie,EpisodeV,26
luke,EpisodeV,25
right,EpisodeVI,25
come,EpisodeV,25
lord,EpisodeV,25
look,EpisodeIV,24
time,EpisodeIV,24
must,EpisodeIV,24
now,EpisodeV,22
force,EpisodeIV,22
see,EpisodeVI,22
oh,EpisodeIV,22
vader,EpisodeV,22
take,EpisodeVI,21
want,EpisodeIV,21
old,EpisodeIV,21
us,EpisodeV,21
help,EpisodeIV,21
alderaan,EpisodeIV,20
back,EpisodeVI,20
got,EpisodeVI,20
side,EpisodeVI,20
must,EpisodeVI,20
us,EpisodeVI,20
got,EpisodeV,20
artoo,EpisodeIV,19
obiwan,EpisodeIV,19
kenobi,EpisodeIV,19
yes,EpisodeVI,19
take,EpisodeV,19
must,EpisodeV,19
one,EpisodeV,19
station,EpisodeIV,19
good,EpisodeIV,18
jabba,EpisodeVI,18
time,EpisodeV,18
little,EpisodeIV,18
ship,EpisodeV,17
system,EpisodeV,17
sure,EpisodeIV,17
wait,EpisodeIV,17
emperor,EpisodeVI,17
go,EpisodeVI,17
shield,EpisodeVI,17
something,EpisodeIV,17
back,EpisodeV,17
make,EpisodeIV,16
long,EpisodeIV,16
leia,EpisodeV,16
force,EpisodeV,16
ready,EpisodeV,16
lando,EpisodeV,16
around,EpisodeV,16
vader,EpisodeVI,16
way,EpisodeIV,16
uncle,EpisodeIV,15
enough,EpisodeIV,15
kid,EpisodeIV,15
help,EpisodeV,15
think,EpisodeV,15
jedi,EpisodeV,15
power,EpisodeV,15
imperial,EpisodeIV,15
power,EpisodeIV,15
find,EpisodeIV,15
tell,EpisodeVI,15
na,EpisodeVI,15
look,EpisodeVI,15
going,EpisodeVI,15
yes,EpisodeIV,14
want,EpisodeV,14
skywalker,EpisodeV,14
master,EpisodeV,14
dark,EpisodeVI,14
move,EpisodeVI,14
leia,EpisodeVI,14
droids,EpisodeIV,14
hold,EpisodeIV,14
blast,EpisodeIV,14
help,EpisodeVI,14
empire,EpisodeIV,13
droid,EpisodeIV,13
little,EpisodeVI,13
one,EpisodeVI,13
need,EpisodeVI,13
jedi,EpisodeVI,13
han,EpisodeV,13
never,EpisodeV,13
wait,EpisodeV,13
two,EpisodeV,13
okay,EpisodeIV,13
threepio,EpisodeIV,13
around,EpisodeIV,13
friends,EpisodeVI,13
princess,EpisodeIV,13
way,EpisodeVI,12
unit,EpisodeIV,12
thought,EpisodeIV,12
rebellion,EpisodeIV,12
let,EpisodeIV,12
stop,EpisodeV,12
find,EpisodeV,12
make,EpisodeV,12
something,EpisodeV,12
lightspeed,EpisodeV,12
tell,EpisodeIV,12
never,EpisodeIV,12
hey,EpisodeIV,12
talking,EpisodeIV,12
much,EpisodeIV,12
found,EpisodeIV,12
attack,EpisodeVI,12
father,EpisodeIV,12
force,EpisodeVI,12
lot,EpisodeIV,11
captain,EpisodeV,11
shield,EpisodeV,11
way,EpisodeV,11
much,EpisodeV,11
ben,EpisodeIV,11
stay,EpisodeV,11
rouge,EpisodeV,11
yeah,EpisodeV,11
master,EpisodeIV,11
rtwo,EpisodeIV,11
thing,EpisodeIV,11
system,EpisodeIV,11
better,EpisodeIV,11
really,EpisodeIV,11
anything,EpisodeIV,11
coming,EpisodeIV,11
red,EpisodeIV,11
battle,EpisodeIV,11
even,EpisodeIV,11
say,EpisodeIV,11
young,EpisodeVI,11
solo,EpisodeVI,11
hey,EpisodeVI,11
time,EpisodeVI,11
told,EpisodeVI,11
two,EpisodeIV,11
sure,EpisodeV,10
yoda,EpisodeV,10
leave,EpisodeV,10
might,EpisodeV,10
coming,EpisodeV,10
gon,EpisodeVI,10
fleet,EpisodeVI,10
han,EpisodeIV,10
strong,EpisodeVI,10
old,EpisodeVI,10
think,EpisodeVI,10
star,EpisodeVI,10
look,EpisodeV,10
use,EpisodeIV,10
last,EpisodeIV,10
might,EpisodeIV,10
bad,EpisodeIV,10
jedi,EpisodeIV,10
hope,EpisodeIV,10
may,EpisodeIV,10
rebel,EpisodeIV,10
side,EpisodeIV,10
sand,EpisodeIV,10
people,EpisodeIV,10
uh,EpisodeIV,10
away,EpisodeIV,10
planet,EpisodeIV,10
work,EpisodeVI,9
looks,EpisodeIV,9
need,EpisodeIV,9
leave,EpisodeVI,9
thought,EpisodeV,9
general,EpisodeVI,9
wish,EpisodeVI,9
man,EpisodeIV,9
quite,EpisodeIV,9
try,EpisodeIV,9
wait,EpisodeVI,9
friend,EpisodeIV,9
stay,EpisodeIV,9
biggs,EpisodeIV,9
give,EpisodeVI,9
bring,EpisodeVI,9
die,EpisodeVI,9
big,EpisodeIV,9
